PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
D7WEE9_9CORY/4-146	21.172308 (19)	0.000000 (0)	0.000000 (1)
B3DWR0_METI4/4-146	7.821538 (14)	0.000000 (1)	19.500000 (2)
D5V3R0_ARCNC/3-141	29.512308 (21)	0.000000 (0)	0.000000 (0)
I0GJ64_9BACT/5-134	0.543077 (5)	105.267860 (7)	117.500000 (4)
D9UUW5_9ACTO/21-204	5.238461 (12)	0.000000 (0)	0.000000 (0)
A3J524_9FLAO/5-146	46.073845 (26)	0.000000 (0)	0.000000 (0)
A4JQJ6_BURVG/5-138	4.055385 (12)	0.000000 (0)	0.000000 (1)
E2MX73_9CORY/19-161	22.469231 (20)	0.000000 (0)	0.000000 (1)
H5UJJ8_9ACTO/7-131	0.770769 (6)	5.107143 (2)	24.000000 (2)
E7A946_HELFC/6-146	14.866154 (15)	0.000000 (1)	0.000000 (0)
A2SI31_METPP/27-172	46.073845 (26)	0.000000 (0)	0.000000 (0)
E4T5F1_PALPW/3-133	1.201538 (7)	85.178574 (6)	65.833336 (3)
H2FZW0_OCESG/4-126	0.876923 (6)	22.589285 (4)	0.000000 (0)
B2JGR3_BURP8/5-149	2.832308 (10)	0.000000 (0)	0.000000 (1)
G2MKN3_9ARCH/12-140	1.106154 (8)	19.142857 (3)	22.000000 (2)
G9PYM9_9BACT/20-162	15.396923 (17)	0.000000 (0)	0.000000 (0)
H3D3W6_TETNG/15-161	27.412308 (22)	0.000000 (0)	0.000000 (1)
Q2IZL1_RHOP2/148-282	0.484615 (5)	77.732140 (6)	0.000000 (0)
E8K9E1_9STRE/5-137	16.024616 (17)	0.000000 (0)	0.000000 (0)
G4KVA7_OSCVS/4-145	16.098461 (17)	0.000000 (0)	0.000000 (0)
G7HYV8_9CORY/7-133	0.826154 (6)	9.321428 (3)	62.583332 (3)
B8NAQ9_ASPFN/15-185	42.195385 (25)	0.000000 (0)	0.000000 (0)
B2TAZ3_BURPP/5-138	14.540000 (18)	0.000000 (0)	0.000000 (1)
D6KTS3_SCAIO/9-162	12.416924 (17)	0.000000 (0)	0.000000 (0)
D2ASG1_STRRD/5-149	37.315384 (24)	0.000000 (0)	0.000000 (0)
C9RAD6_AMMDK/5-145	4.558462 (12)	0.000000 (0)	0.000000 (1)
A6EB03_9SPHI/3-141	20.612309 (19)	0.000000 (0)	0.000000 (0)
H1TY75_9BACT/5-135	1.201538 (7)	131.732147 (8)	117.500000 (4)
I0YWG8_9CHLO/13-180	33.612309 (23)	0.000000 (0)	0.000000 (0)
F8L8A8_SIMNZ/4-149	19.873846 (19)	0.000000 (1)	0.000000 (0)
D8QYS9_SELML/9-172	32.555386 (23)	0.000000 (0)	0.000000 (0)
F4KR55_HALH1/5-133	1.515385 (8)	3.428571 (2)	0.000000 (0)
E8NAG6_MICTS/11-157	27.260000 (21)	0.000000 (0)	0.000000 (0)
C9PMZ3_9PAST/5-144	10.820000 (15)	0.000000 (0)	0.000000 (0)
A1WAA9_ACISJ/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
H3GIZ6_PHYRM/3-151	2.256923 (9)	0.000000 (0)	0.000000 (1)
A6NRL3_9FIRM/6-127	0.786154 (7)	77.732140 (6)	22.000000 (2)
F3LFH4_9GAMM/34-179	42.972309 (25)	0.000000 (0)	0.000000 (0)
Q2JEA0_FRASC/7-128	0.644615 (6)	42.160713 (5)	117.500000 (4)
G8ZSB0_TORDC/9-155	38.481537 (24)	0.000000 (0)	0.000000 (0)
Q6FFV7_ACIAD/7-140	9.310769 (15)	2.464286 (2)	0.000000 (1)
A3UJ05_9RHOB/6-138	2.078462 (9)	3.428571 (2)	56.916668 (3)
G8BA49_CANPC/14-160	37.646152 (24)	0.000000 (0)	0.000000 (0)
B3PFS0_CELJU/4-149	46.073845 (26)	0.000000 (0)	0.000000 (0)
H8KLD9_SOLCM/4-133	1.201538 (7)	85.178574 (6)	65.833336 (3)
B6QW40_PENMQ/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
F6ILR0_9SPHN/12-144	0.820000 (7)	131.732147 (8)	0.000000 (0)
Q1N4V9_9GAMM/59-202	46.073845 (26)	0.000000 (0)	0.000000 (0)
PTPB_STAS1/3-135	5.224616 (13)	0.000000 (0)	0.000000 (0)
Q1QWV3_CHRSD/5-143	9.961538 (15)	0.000000 (0)	0.000000 (0)
F4QIH0_9CAUL/4-148	44.135384 (25)	0.000000 (0)	0.000000 (0)
B8KTI3_9GAMM/11-156	46.073845 (26)	0.000000 (0)	0.000000 (0)
C7MBY5_BRAFD/5-152	14.763077 (17)	0.000000 (0)	0.000000 (0)
E3B9M0_9MICO/4-149	12.416924 (17)	0.000000 (0)	0.000000 (0)
Q0S5F2_RHOSR/3-165	4.829231 (13)	0.000000 (0)	0.000000 (0)
G6FVN1_9CYAN/1-123	1.390769 (9)	24.428572 (4)	117.500000 (4)
D8DW83_PREBR/8-155	40.096924 (24)	0.000000 (0)	0.000000 (0)
H0Q4L3_9RHOO/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
H2MFM2_ORYLA/9-154	39.775383 (25)	0.000000 (0)	0.000000 (0)
D7DTJ6_METV3/41-162	0.726154 (7)	19.142857 (3)	56.916668 (3)
C4WRW0_ACYPI/7-156	30.549231 (22)	0.000000 (0)	0.000000 (0)
D8PPN7_SCHCM/1-127	29.947693 (16)	0.000000 (0)	0.000000 (0)
D7N390_9NEIS/12-146	8.373846 (15)	0.000000 (0)	0.000000 (0)
Q2PYL1_9BACT/43-181	1.996923 (9)	0.000000 (0)	0.000000 (1)
H6SNM0_RHOPH/6-152	29.330769 (22)	0.000000 (0)	0.000000 (0)
H3HXK2_STRPU/78-216	28.441538 (19)	0.000000 (0)	0.000000 (0)
D9WG20_9ACTO/24-170	2.660000 (9)	0.000000 (0)	0.000000 (1)
B4WZ62_9GAMM/5-139	9.213846 (15)	0.000000 (0)	0.000000 (0)
D2ZEJ9_9ENTR/5-139	10.658462 (16)	0.000000 (0)	0.000000 (0)
G1KE09_ANOCA/8-154	37.752308 (23)	0.000000 (0)	0.000000 (1)
F7PWB1_9BACT/5-125	1.233846 (9)	77.732140 (6)	117.500000 (4)
F8CPE8_MYXFH/4-126	0.643077 (6)	39.035713 (4)	117.500000 (4)
G8X8E7_FLACA/5-146	46.073845 (26)	0.000000 (0)	0.000000 (0)
G4GN42_9EURY/13-141	0.558462 (6)	4.642857 (2)	117.500000 (4)
G0HE52_CORVD/541-682	26.369230 (21)	0.000000 (0)	0.000000 (0)
H5SCL5_9ZZZZ/1-126	0.984615 (4)	0.000000 (0)	13.416667 (2)
C4XW44_CLAL4/1-134	28.443077 (16)	0.000000 (0)	0.000000 (0)
E1IAS5_9CHLR/109-237	0.472308 (5)	104.964287 (7)	117.500000 (4)
F4GZD4_CELFA/14-199	6.755384 (13)	0.000000 (0)	0.000000 (0)
A4BML1_9GAMM/1-141	38.493847 (23)	0.000000 (0)	0.000000 (0)
C0DY90_EIKCO/7-147	18.589231 (18)	0.000000 (0)	0.000000 (1)
A0ALM5_LISW6/3-134	5.981538 (13)	0.000000 (1)	0.000000 (0)
A4AET6_9ACTN/15-162	24.427692 (20)	0.000000 (0)	0.000000 (0)
B4UGE2_ANASK/20-147	0.472308 (5)	104.964287 (7)	62.583332 (3)
E0NQK3_9BACT/7-153	44.315384 (25)	0.000000 (0)	0.000000 (0)
F8A403_CELGA/5-124	0.543077 (5)	0.000000 (1)	62.583332 (3)
B1XJB6_SYNP2/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
H0HU48_9RHIZ/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
G6A1W2_9PROT/8-139	0.769231 (7)	3.428571 (2)	24.000000 (2)
D3PVH8_STANL/99-218	0.635385 (7)	26.160715 (4)	0.000000 (1)
C5BXM5_BEUC1/8-129	0.644615 (6)	54.071430 (5)	117.500000 (4)
E5XRF9_9ACTO/8-151	14.070769 (17)	0.000000 (1)	0.000000 (0)
G0AA87_COLFT/8-142	0.870769 (7)	131.732147 (8)	0.000000 (0)
Q1GUY8_SPHAL/11-154	42.478462 (24)	0.000000 (0)	0.000000 (0)
A8IUP0_CHLRE/5-153	31.269230 (22)	0.000000 (0)	0.000000 (0)
D8FUE3_9CYAN/1-128	31.393847 (17)	0.000000 (0)	0.000000 (0)
D3CWR6_9ACTO/7-128	0.800000 (7)	39.035713 (4)	117.500000 (4)
F5R030_SHIFL/1-122	4.293846 (8)	0.000000 (1)	0.000000 (0)
E6U757_ETHHY/4-137	6.076923 (13)	0.000000 (0)	24.000000 (2)
F2LUC8_HIPMA/5-134	1.404615 (8)	105.267860 (7)	62.583332 (3)
F5L5M2_9BACI/4-147	27.106153 (21)	0.000000 (0)	0.000000 (0)
A0B5S3_METTP/12-132	0.980000 (8)	81.928574 (6)	117.500000 (4)
B3RU39_TRIAD/7-137	0.755385 (6)	105.267860 (7)	24.333334 (2)
A4B947_9GAMM/51-184	5.824615 (13)	0.000000 (0)	0.000000 (0)
G5H7P3_9BACT/8-153	35.555386 (23)	0.000000 (0)	0.000000 (0)
D1AHD6_SEBTE/4-125	0.963077 (8)	34.017857 (4)	22.000000 (2)
B8H6R4_ARTCA/14-165	21.875385 (20)	0.000000 (0)	0.000000 (0)
A3TMI8_9MICO/1-167	5.266154 (11)	0.000000 (1)	0.000000 (1)
F3J3Y9_PSEAP/7-130	1.300000 (8)	45.964287 (5)	0.000000 (1)
E1IAR0_9CHLR/9-150	36.053844 (23)	0.000000 (0)	0.000000 (0)
A6GJ63_9DELT/11-157	41.256924 (25)	0.000000 (0)	0.000000 (0)
C0FWS9_9FIRM/1-138	12.913846 (11)	0.000000 (0)	0.000000 (0)
D9PYL5_METTM/5-125	0.489231 (6)	64.571426 (5)	117.500000 (4)
A4EDM9_9RHOB/3-133	36.053844 (23)	0.000000 (0)	0.000000 (0)
Q2NUC1_SODGM/5-138	10.658462 (16)	0.000000 (1)	0.000000 (0)
E4M6K2_9FIRM/6-149	2.989231 (10)	0.000000 (0)	0.000000 (0)
C9MLL5_9BACT/1-130	27.633846 (16)	0.000000 (0)	0.000000 (0)
E7R8W8_PICAD/348-491	29.298462 (19)	0.000000 (1)	0.000000 (0)
D1BI36_SANKS/17-178	18.595385 (20)	0.000000 (0)	0.000000 (0)
D6TM83_9CHLR/118-248	0.472308 (5)	104.964287 (7)	22.000000 (2)
A2F3J7_TRIVA/6-140	26.041538 (21)	0.000000 (0)	0.000000 (0)
A4EMT0_9RHOB/3-135	0.755385 (6)	108.482140 (7)	0.000000 (0)
I0ANJ1_9BACT/5-135	1.201538 (7)	85.178574 (6)	117.500000 (4)
G9ZQ48_9LACO/1-131	11.289230 (10)	0.000000 (0)	0.000000 (1)
Q3ATJ5_CHLCH/5-159	17.176924 (18)	0.000000 (0)	0.000000 (1)
Q2BB55_9BACI/1-130	19.163076 (13)	0.000000 (0)	0.000000 (0)
E4TZH2_SULKY/4-142	29.512308 (21)	0.000000 (0)	0.000000 (0)
C9RW09_GEOSY/6-135	1.201538 (7)	108.482140 (7)	117.500000 (4)
H2CEJ4_9LEPT/6-149	1.201538 (7)	75.821426 (6)	0.000000 (1)
A6GYW9_FLAPJ/1-139	41.287693 (24)	0.000000 (0)	0.000000 (0)
Q13G35_BURXL/5-138	6.473846 (14)	0.000000 (0)	0.000000 (1)
H3SBS9_9BACL/4-148	33.358463 (22)	0.000000 (0)	0.000000 (0)
B8GVB3_THISH/36-176	12.747692 (15)	0.000000 (0)	0.000000 (0)
B2A3H9_NATTJ/10-179	4.429231 (12)	0.000000 (0)	0.000000 (0)
G7V9B4_THELD/17-172	2.201539 (9)	0.000000 (1)	0.000000 (1)
D0WKN2_9ACTO/15-191	6.610769 (13)	0.000000 (1)	0.000000 (0)
F0RVJ6_SPHGB/6-127	0.786154 (7)	47.857143 (5)	49.666668 (3)
A7WK41_CAEEL/9-159	43.103077 (25)	0.000000 (0)	0.000000 (0)
E1R7F0_SPISS/9-141	0.543077 (5)	104.964287 (7)	117.500000 (4)
Q1AUA8_RUBXD/15-158	40.878460 (25)	0.000000 (0)	0.000000 (0)
D8LD71_ECTSI/61-184	1.476923 (9)	14.035714 (3)	117.500000 (4)
D4M645_9FIRM/5-147	18.349232 (18)	0.000000 (1)	0.000000 (0)
